order_id,user_id,date_time,status,promocode
50001,1553,2025-05-23 08:59:11,оплачен,
50002,1355,2025-11-08 13:32:17,оплачен,WELCOME10
50003,1303,2026-04-06 08:08:22,оплачен,
50004,1496,2025-10-07 14:04:46,оплачен,
50005,1658,2026-03-19 22:29:24,оплачен,
50006,1768,2025-04-28 14:24:09,оплачен,
50007,1974,2025-11-03 22:40:24,оплачен,
50008,1227,2025-08-19 02:51:47,оплачен,
50009,1236,2025-12-22 02:10:10,оплачен,SALE5
50010,1873,2025-09-02 20:21:44,отменен,
50011,1892,2025-08-28 22:16:01,оплачен,
50012,1455,2026-02-16 09:17:53,оплачен,
50013,1013,2025-04-15 15:48:50,оплачен,
50014,1210,2025-10-11 02:52:58,оплачен,SUMMER20
50015,1741,2026-02-12 15:05:56,оплачен,SALE5
50016,1397,2025-05-21 10:46:46,оплачен,SUMMER20
50017,1100,2025-05-05 09:11:59,оплачен,
50018,1031,2025-04-12 03:38:53,оплачен,WELCOME10
50019,1898,2026-01-26 14:07:06,оплачен,SUMMER20
50020,1528,2025-09-19 22:45:39,оплачен,
50021,1649,2026-03-31 11:12:42,оплачен,
50022,1329,2025-08-27 16:55:35,оплачен,
50023,1166,2025-05-17 04:25:15,отменен,
50024,1459,2025-04-18 21:28:46,оплачен,
50025,1822,2025-05-05 04:29:22,оплачен,
50026,1952,2025-12-11 13:09:06,оплачен,
50027,1982,2026-01-01 04:28:02,оплачен,
50028,1993,2026-05-12 03:46:45,оплачен,
50029,1100,2025-04-06 12:41:20,оплачен,
50030,1621,2025-03-13 04:26:54,отменен,WELCOME10
50031,1855,2025-02-08 19:24:05,оплачен,
50032,1173,2025-12-11 03:01:21,оплачен,WELCOME10
50033,1749,2025-09-14 17:04:53,оплачен,
50034,1162,2025-05-26 12:18:22,оплачен,SALE5
50035,1905,2025-12-27 12:42:53,оплачен,
50036,1728,2025-11-28 21:51:51,оплачен,
50037,1776,2026-01-30 03:08:38,оплачен,
50038,1263,2025-07-28 05:05:51,оплачен,
50039,1804,2025-08-29 19:08:31,отменен,
50040,1274,2025-06-12 17:17:04,оплачен,
50041,1003,2026-05-12 22:10:36,отменен,SALE5
50042,1028,2025-08-03 03:28:43,оплачен,
50043,1326,2025-12-01 12:41:08,оплачен,
50044,1940,2026-01-28 06:03:18,оплачен,WELCOME10
50045,1149,2025-09-02 02:56:20,оплачен,
50046,1540,2025-03-27 20:31:01,оплачен,
50047,1488,2026-03-09 09:01:01,оплачен,
50048,1822,2025-04-19 23:16:31,оплачен,
50049,1438,2026-01-10 15:45:38,оплачен,
50050,1065,2026-03-03 23:00:10,оплачен,
50051,1356,2025-06-20 20:03:06,оплачен,
50052,1533,2025-08-29 17:11:30,оплачен,
50053,1252,2025-08-29 00:46:27,оплачен,WELCOME10
50054,1235,2025-11-11 06:01:41,оплачен,
50055,1227,2025-06-26 03:43:18,оплачен,
50056,1525,2025-11-08 17:42:10,оплачен,SUMMER20
50057,1313,2025-09-07 02:41:26,оплачен,WELCOME10
50058,1049,2025-05-30 21:01:48,оплачен,
50059,1118,2025-10-13 01:59:53,оплачен,
50060,1054,2025-10-15 19:37:27,отменен,
50061,1650,2025-07-13 09:59:41,отменен,
50062,1565,2025-10-02 00:12:55,оплачен,
50063,1044,2025-05-31 21:41:46,отменен,SUMMER20
50064,1815,2025-06-15 19:49:42,оплачен,SALE5
50065,1053,2025-12-25 08:15:33,оплачен,
50066,1586,2025-05-29 01:11:39,оплачен,
50067,1558,2026-01-09 11:25:08,оплачен,SUMMER20
50068,1525,2025-10-09 01:47:19,оплачен,
50069,1677,2025-03-19 01:00:50,оплачен,
50070,1102,2025-09-12 03:23:53,отменен,
50071,1792,2025-12-31 13:01:28,оплачен,
50072,1770,2025-02-16 11:36:27,оплачен,
50073,1982,2025-11-22 06:23:20,оплачен,WELCOME10
50074,1849,2026-02-15 13:13:36,оплачен,WELCOME10
50075,1868,2025-08-13 23:13:33,оплачен,
50076,1398,2025-05-24 11:21:55,оплачен,
50077,1138,2025-05-12 12:35:21,отменен,
50078,1675,2026-03-25 15:35:55,оплачен,WELCOME10
50079,1921,2025-10-10 00:44:35,оплачен,
50080,1387,2025-12-28 17:37:02,оплачен,SUMMER20
50081,1111,2025-05-02 15:58:04,оплачен,WELCOME10
50082,1614,2026-02-14 07:50:13,отменен,
50083,1017,2025-12-28 15:16:44,оплачен,
50084,1780,2025-12-23 13:06:45,оплачен,WELCOME10
50085,1182,2025-08-19 14:43:16,оплачен,WELCOME10
50086,1884,2025-06-05 14:43:33,оплачен,
50087,1536,2025-07-06 12:26:51,оплачен,
50088,1541,2026-03-11 07:58:13,оплачен,
50089,1171,2025-12-26 10:32:52,оплачен,
50090,1409,2025-06-13 02:16:27,оплачен,
50091,1740,2025-11-02 13:53:22,оплачен,SUMMER20
50092,1378,2025-08-20 07:12:58,оплачен,WELCOME10
50093,1188,2025-09-09 04:08:28,оплачен,
50094,1858,2025-12-24 21:01:44,оплачен,WELCOME10
50095,1230,2025-11-08 07:54:00,отменен,
50096,1833,2025-12-25 10:38:46,оплачен,
50097,1852,2025-05-28 23:10:28,оплачен,
50098,1119,2025-07-25 15:34:19,оплачен,
50099,1156,2025-08-17 02:00:57,оплачен,
50100,1784,2026-02-02 00:16:01,оплачен,WELCOME10
50101,1687,2025-09-08 05:07:28,оплачен,
50102,1465,2025-06-21 18:32:02,оплачен,WELCOME10
50103,1104,2025-12-10 11:19:44,оплачен,
50104,1604,2025-03-23 08:38:03,оплачен,
50105,1698,2025-07-18 05:26:44,отменен,WELCOME10
50106,1972,2025-08-24 12:59:56,оплачен,
50107,1795,2026-01-23 19:46:52,оплачен,SUMMER20
50108,1502,2025-06-16 21:42:18,отменен,SALE5
50109,1693,2025-07-29 15:50:25,оплачен,
50110,1682,2025-11-27 12:27:08,оплачен,WELCOME10
50111,1699,2025-07-08 23:18:47,оплачен,SUMMER20
50112,1175,2025-07-05 18:11:14,оплачен,
50113,1734,2025-12-20 09:26:10,оплачен,
50114,1745,2025-03-15 01:42:18,оплачен,SUMMER20
50115,1674,2025-11-15 13:51:37,оплачен,
50116,1421,2025-08-30 09:27:00,оплачен,
50117,1134,2026-01-22 07:07:58,оплачен,WELCOME10
50118,1391,2025-07-16 21:46:55,оплачен,
50119,1992,2025-08-19 10:38:03,оплачен,
50120,1736,2025-10-29 05:45:11,оплачен,
50121,1501,2025-07-12 20:36:45,оплачен,
50122,1665,2025-12-02 23:15:56,оплачен,WELCOME10
50123,1033,2025-11-08 21:53:56,оплачен,
50124,1055,2025-10-03 21:03:10,оплачен,
50125,1954,2025-03-24 06:45:57,оплачен,WELCOME10
50126,1519,2025-12-04 21:40:22,оплачен,SUMMER20
50127,1756,2025-02-13 17:27:42,оплачен,
50128,1825,2025-10-18 21:28:18,оплачен,
50129,1638,2025-06-13 03:13:13,оплачен,
50130,1012,2025-10-04 16:02:15,оплачен,
50131,1528,2025-09-01 12:14:45,оплачен,
50132,1720,2025-06-27 09:58:46,оплачен,
50133,1555,2025-06-08 21:51:57,оплачен,WELCOME10
50134,1373,2025-03-13 22:24:41,оплачен,WELCOME10
50135,1484,2025-03-04 21:16:17,оплачен,
