product_id,product_name,category,base_price
201,Набор для рисования Модель 201,Хобби,9900.0
202,Бутылка для воды Модель 202,Спорт,23700.0
203,Робот-пылесос Модель 203,Бытовая техника,12300.0
204,Умные часы Модель 204,Электроника,57700.0
205,Рюкзак Модель 205,Одежда и обувь,7800.0
206,Футболка Модель 206,Одежда и обувь,3200.0
207,Наушники Модель 207,Электроника,19000.0
208,Куртка Модель 208,Одежда и обувь,51400.0
209,Рюкзак Модель 209,Одежда и обувь,17300.0
210,Набор для рисования Модель 210,Хобби,59800.0
211,Футболка Модель 211,Одежда и обувь,19100.0
212,Книга Модель 212,Хобби,24000.0
213,Смартфон Модель 213,Электроника,64600.0
214,Телевизор Модель 214,Электроника,59500.0
215,Тостер Модель 215,Бытовая техника,24000.0
216,Кофемашина Модель 216,Бытовая техника,81400.0
217,Тостер Модель 217,Бытовая техника,9100.0
218,Кроссовки Модель 218,Одежда и обувь,8700.0
219,Чайник Модель 219,Бытовая техника,51500.0
220,Ноутбук Модель 220,Электроника,62200.0
221,Рюкзак Модель 221,Одежда и обувь,11000.0
222,Кроссовки Модель 222,Одежда и обувь,7200.0
223,Микроволновка Модель 223,Бытовая техника,70600.0
224,Настольная игра Модель 224,Хобби,75300.0
225,Чайник Модель 225,Бытовая техника,49300.0
226,Коврик для йоги Модель 226,Спорт,6400.0
227,Гантели Модель 227,Спорт,19800.0
228,Микроволновка Модель 228,Бытовая техника,83800.0
229,Робот-пылесос Модель 229,Бытовая техника,73700.0
230,Кроссовки Модель 230,Одежда и обувь,24000.0
231,Набор для рисования Модель 231,Хобби,71000.0
232,Телевизор Модель 232,Электроника,31800.0
233,Кофемашина Модель 233,Бытовая техника,57100.0
234,Коврик для йоги Модель 234,Спорт,79600.0
235,Набор для рисования Модель 235,Хобби,6500.0
236,Набор для рисования Модель 236,Хобби,15000.0
237,Бутылка для воды Модель 237,Спорт,21200.0
238,Худи Модель 238,Одежда и обувь,32600.0
239,Набор для рисования Модель 239,Хобби,58600.0
240,Робот-пылесос Модель 240,Бытовая техника,58300.0
241,Ноутбук Модель 241,Электроника,19900.0
242,Ноутбук Модель 242,Электроника,68500.0
243,Кроссовки Модель 243,Одежда и обувь,23100.0
244,Кофемашина Модель 244,Бытовая техника,77700.0
245,Книга Модель 245,Хобби,74600.0
246,Тостер Модель 246,Бытовая техника,18500.0
247,Джинсы Модель 247,Одежда и обувь,33900.0
248,Набор для рисования Модель 248,Хобби,39300.0
249,Блендер Модель 249,Бытовая техника,12300.0
250,Бутылка для воды Модель 250,Спорт,47900.0
251,Блендер Модель 251,Бытовая техника,63600.0
252,Футболка Модель 252,Одежда и обувь,76400.0
253,Кроссовки Модель 253,Одежда и обувь,31100.0
254,Планшет Модель 254,Электроника,43600.0
255,Наушники Модель 255,Электроника,64400.0
256,Умные часы Модель 256,Электроника,13400.0
257,Телевизор Модель 257,Электроника,67400.0
258,Футболка Модель 258,Одежда и обувь,50900.0
259,Кроссовки Модель 259,Одежда и обувь,32700.0
260,Худи Модель 260,Одежда и обувь,45200.0
261,Рюкзак Модель 261,Одежда и обувь,73200.0
262,Смартфон Модель 262,Электроника,58000.0
263,Умные часы Модель 263,Электроника,58100.0
264,Рюкзак Модель 264,Одежда и обувь,63900.0
265,Набор для рисования Модель 265,Хобби,29200.0
266,Микроволновка Модель 266,Бытовая техника,37200.0
267,Худи Модель 267,Одежда и обувь,800.0
268,Бутылка для воды Модель 268,Спорт,74500.0
269,Блендер Модель 269,Бытовая техника,82600.0
270,Телевизор Модель 270,Электроника,43400.0
271,Умные часы Модель 271,Электроника,74100.0
272,Микроволновка Модель 272,Бытовая техника,71600.0
273,Куртка Модель 273,Одежда и обувь,52000.0
274,Планшет Модель 274,Электроника,32100.0
275,Телевизор Модель 275,Электроника,46100.0
276,Куртка Модель 276,Одежда и обувь,78100.0
277,Настольная игра Модель 277,Хобби,27900.0
278,Смартфон Модель 278,Электроника,10000.0
279,Чайник Модель 279,Бытовая техника,74800.0
280,Микроволновка Модель 280,Бытовая техника,20700.0
281,Робот-пылесос Модель 281,Бытовая техника,74700.0
282,Наушники Модель 282,Электроника,7700.0
283,Джинсы Модель 283,Одежда и обувь,69500.0
284,Рюкзак Модель 284,Одежда и обувь,65200.0
285,Планшет Модель 285,Электроника,56200.0
286,Рюкзак Модель 286,Одежда и обувь,14500.0
287,Куртка Модель 287,Одежда и обувь,74200.0
288,Футболка Модель 288,Одежда и обувь,82000.0
289,Рюкзак Модель 289,Одежда и обувь,64300.0
290,Коврик для йоги Модель 290,Спорт,17500.0
291,Микроволновка Модель 291,Бытовая техника,34200.0
292,Гантели Модель 292,Спорт,55400.0
293,Худи Модель 293,Одежда и обувь,76500.0
294,Худи Модель 294,Одежда и обувь,10700.0
295,Робот-пылесос Модель 295,Бытовая техника,5900.0
296,Смартфон Модель 296,Электроника,50200.0
297,Робот-пылесос Модель 297,Бытовая техника,50200.0
298,Смартфон Модель 298,Электроника,6500.0
299,Набор для рисования Модель 299,Хобби,5500.0
300,Наушники Модель 300,Электроника,77000.0
