row_id,order_id,product_id,quantity,sale_price
100001,51328,208,1,1150.0
100002,51886,290,2,550.0
100003,50117,223,1,920.0
100004,51505,210,1,1490.0
100005,52451,218,2,940.0
100006,52034,276,1,830.0
100007,51700,239,1,790.0
100008,51924,226,3,410.0
100009,51611,211,1,1390.0
100010,52281,210,1,1490.0
100011,51308,203,1,750.0
100012,50976,262,1,1040.0
100013,52057,271,2,1000.0
100014,50715,261,1,1190.0
100015,51926,204,1,1080.0
100016,52427,261,1,1190.0
100017,52429,208,1,1150.0
100018,50844,213,1,330.0
100019,50360,212,1,420.0
100020,52224,235,1,1380.0
100021,50485,254,1,560.0
100022,51429,251,1,520.0
100023,52081,243,3,1030.0
100024,51489,266,1,380.0
100025,50696,215,1,270.0
100026,52205,249,1,1040.0
100027,50565,234,2,890.0
100028,51832,239,1,790.0
100029,50202,226,4,410.0
100030,51199,269,1,1490.0
100031,51268,248,2,150.0
100032,51470,289,1,1380.0
100033,50074,251,2,520.0
100034,50096,298,2,920.0
100035,51897,204,1,1080.0
100036,50173,298,1,920.0
100037,51923,227,1,1110.0
100038,52203,242,1,120.0
100039,52337,256,2,1110.0
100040,50258,293,1,1130.0
100041,52222,269,1,1490.0
100042,50330,218,1,940.0
100043,51255,261,1,1190.0
100044,50161,204,4,1080.0
100045,50186,201,3,810.0
100046,50143,250,1,700.0
100047,50640,284,2,1430.0
100048,52075,270,3,1420.0
100049,50202,220,1,660.0
100050,51615,220,2,660.0
100051,50472,246,1,1000.0
100052,52307,227,1,1110.0
100053,52103,226,1,410.0
100054,50911,232,2,740.0
100055,51572,210,1,1490.0
100056,51030,282,1,1210.0
100057,51074,212,1,420.0
100058,52160,274,1,800.0
100059,52194,288,2,300.0
100060,50230,224,1,990.0
100061,51747,251,1,520.0
100062,51330,238,1,1370.0
100063,50461,246,1,1000.0
100064,50807,289,1,1380.0
100065,51932,208,1,1150.0
100066,52274,255,1,400.0
100067,50059,278,1,890.0
100068,51100,231,1,1200.0
100069,52476,288,1,300.0
100070,50728,216,2,1420.0
100071,51156,220,1,660.0
100072,50498,238,2,1370.0
100073,50910,215,1,270.0
100074,51329,278,1,890.0
100075,52115,276,1,830.0
100076,50230,234,1,890.0
100077,50333,272,1,650.0
100078,52325,219,2,1200.0
